school_server_code,Atomic Structure,Basic Astronomy,Ecosystem,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Health and Disease,Linear Equations,Post-CLIx Survey,Pre-CLIx Survey,Proportional Reasoning,Reflecting on Values,Sound,Understanding Motion
rj92,6.428571428571429,0.0,0.0,5.95128676470588,5.059523809523809,26.1513041634269,1.58730158730159,0.0,0.0,25.0,23.2608695652174,2.17391304347826,2.4390243902438997,1.7857142857142903,7.99297321036451
rj36,0.0,21.7529330572809,0.0,14.705882352941199,0.0,0.0,0.0,5.29411764705882,51.020408163265294,0.0,5.0,0.0,0.0,0.0,6.76328502415459
rj41,2.04081632653061,0.0,4.48717948717949,5.080213903743309,5.55555555555555,0.0,0.0,0.0,0.0,0.0,83.6363636363636,0.0,0.0,0.0,0.0
rj4,3.26530612244898,20.0751879699248,0.0,6.51180926916221,2.01881451881452,16.6666666666667,5.882352941176469,2.20588235294118,21.4285714285714,0.0,0.0,0.0,0.0,3.9285714285714306,15.4808959156785
rj23,0.0,23.3333333333333,0.0,0.0,19.6428571428571,19.047619047618998,14.705882352941199,0.0,0.0,0.0,0.0,0.0,0.0,8.928571428571429,2.8985507246376803
rj53,0.0,10.0,0.0,0.0,0.0,7.142857142857139,0.0,0.0,0.0,0.0,70.6818181818182,0.0,0.0,0.0,0.0
rj58,21.3500784929356,0.0,1.92307692307692,4.41176470588235,0.0,0.0,0.0,37.9738562091503,0.0,0.0,5.0,16.9082125603865,0.0,0.0,0.0
rj72,0.0,0.0,3.84615384615385,0.0,0.961538461538462,0.0,0.0,14.100346020761199,0.0,0.0,0.0,12.771739130434801,0.0,39.484126984127,2.8985507246376803
rj15,4.08163265306123,30.4634920634921,0.0,4.63800904977376,2.38095238095238,9.52380952380952,0.0,0.0,0.0,0.0,3.3333333333333304,0.0,0.0,0.892857142857143,0.48309178743961295
rj91,0.0,0.0,7.98076923076923,3.99159663865546,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.362318840579698,0.0,11.3839285714286,0.0
rj44,0.0,4.0,7.57211538461538,0.0,0.0,7.142857142857139,0.0,0.0,0.0,0.0,0.0,24.901185770751,0.0,0.0,0.0
rj79,0.0,0.0,0.0,23.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.570487483531,0.0,0.0,0.0
rj63,0.0,0.0,0.0,24.3079584775087,2.38095238095238,0.0,0.0,0.0,0.0,0.0,4.16666666666667,0.0,0.0,0.0,0.0
rj28,0.0,13.333333333333302,0.0,0.0,0.0,7.142857142857139,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,0.0
rj1,0.0,0.0,0.0,4.27807486631016,1.45502645502646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6075808249721
rj85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5603715170278596,0.0,0.0,0.0,14.4927536231884,0.0,0.0,0.0
rj84,0.0,0.0,0.0,6.86274509803922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.90513833992095,0.0,3.22802197802198,0.0
rj32,0.0,0.0,0.0,0.0,2.0089285714285703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3514492753623197
